application_id,date,region,product,source,client_type,urgency,estimated_budget,demo_data
A1030,2026-09-13,Гомель,шкафы,звонок,новый,обычная,1367.06,True
A1031,2026-09-13,Гомель,шкафы,сайт,новый,обычная,1347.07,True
A1032,2026-09-13,Гродно,шкафы,партнёр,новый,высокая,1270.49,True
A1033,2026-09-13,Гомель,офисные столы,партнёр,новый,высокая,1211.73,True
A1034,2026-09-13,Могилёв,шкафы,звонок,новый,высокая,1189.46,True
A1035,2026-09-13,Витебск,офисные столы,звонок,новый,обычная,1033.04,True
A1036,2026-09-13,Брест,офисные столы,звонок,повторный,обычная,839.56,True
A1037,2026-09-13,Витебск,офисные кресла,реклама,новый,обычная,632.9,True
A1038,2026-09-13,Брест,шкафы,сайт,новый,обычная,1143.5,True
A1039,2026-09-13,Витебск,офисные кресла,звонок,новый,высокая,551.74,True
A1040,2026-09-13,Гродно,офисные столы,партнёр,новый,обычная,819.17,True
A1041,2026-09-13,Брест,шкафы,сайт,новый,высокая,1428.87,True
A1042,2026-09-13,Гомель,офисные столы,реклама,повторный,обычная,799.27,True
A1043,2026-09-13,Гродно,офисные кресла,реклама,новый,обычная,594.1,True
A1044,2026-09-13,Могилёв,офисные кресла,звонок,новый,обычная,785.07,True
A1045,2026-09-13,Брест,офисные кресла,звонок,новый,обычная,713.83,True
A1046,2026-09-13,Витебск,офисные столы,сайт,новый,обычная,1041.32,True
A1047,2026-09-13,Витебск,офисные кресла,реклама,новый,обычная,568.58,True
A1048,2026-09-13,Брест,офисные столы,звонок,новый,обычная,944.71,True
A1049,2026-09-13,Витебск,офисные столы,реклама,повторный,обычная,1006.45,True
A1050,2026-09-13,Витебск,офисные кресла,звонок,новый,обычная,763.17,True
A1051,2026-09-13,Могилёв,офисные столы,звонок,новый,обычная,1169.08,True
A1052,2026-09-13,Витебск,шкафы,реклама,новый,обычная,1611.61,True
A1053,2026-09-13,Витебск,офисные столы,звонок,новый,обычная,964.25,True
A1054,2026-09-13,Витебск,шкафы,звонок,повторный,обычная,1063.91,True
A1055,2026-09-13,Витебск,офисные столы,сайт,повторный,обычная,1127.69,True
A1056,2026-09-13,Гомель,офисные кресла,звонок,повторный,обычная,601.91,True
A1057,2026-09-13,Витебск,офисные кресла,партнёр,повторный,обычная,695.0,True
A1058,2026-09-13,Могилёв,шкафы,партнёр,новый,обычная,1529.51,True
A1059,2026-09-13,Брест,шкафы,сайт,новый,обычная,1146.11,True
A1060,2026-09-13,Могилёв,офисные кресла,партнёр,повторный,высокая,588.7,True
A1061,2026-09-13,Гродно,офисные столы,сайт,повторный,обычная,861.89,True
A1062,2026-09-13,Гомель,офисные кресла,сайт,новый,обычная,827.45,True
A1063,2026-09-13,Гомель,офисные кресла,сайт,повторный,высокая,669.34,True
A1064,2026-09-13,Могилёв,шкафы,сайт,новый,обычная,1391.9,True
A1065,2026-09-13,Гродно,шкафы,звонок,новый,обычная,1436.43,True
A1066,2026-09-13,Брест,офисные кресла,реклама,новый,обычная,727.34,True
A1067,2026-09-13,Гродно,офисные столы,партнёр,новый,обычная,890.9,True
A1068,2026-09-13,Гродно,шкафы,партнёр,новый,высокая,1163.08,True
A1069,2026-09-13,Гомель,шкафы,сайт,новый,обычная,1441.07,True
